track_name,track_id,track_artist,playlist_id,track_popularity,loudness,instrumentalness,key,speechiness,acousticness,danceability,liveness,tempo,energy,valence,emotion
Pangarap,0017A6SJgTbfQVU2EtsPNo,Barbie's Cradle,37i9dQZF1DWYDQ8wBxd7xt,41,-10.068,0.0117,2,0.0236,0.279,0.682,0.0887,97.091,0.401,0.566,6
I Feel Alive,004s3t0ONYlzxII9PLgU6z,Steady Rollin,3YouF0u7waJnolytf9JCXf,28,-4.739,0.00994,9,0.0442,0.0117,0.303,0.347,135.225,0.88,0.404,1
Poison,00chLpzhgVjxs1zKC9UScL,Bell Biv DeVoe,3a9y4eeCJRmG9p4YKfqYIx,0,-7.504,0.00723,6,0.216,0.00432,0.845,0.489,111.904,0.652,0.65,10
Baby It's Cold Outside (feat. Christina Aguilera),00cqd6ZsSkLZqGMlQCR0Zo,CeeLo Green,6FZYc2BvF7tColxO8PBShV,41,-5.819,0,5,0.0341,0.689,0.425,0.0664,118.593,0.378,0.405,6
Dumb Litty,00emjlCv9azBN0fzuuyLqy,KARD,37i9dQZF1DX4RDXswvP6Mj,65,-1.993,0,9,0.0409,0.037,0.76,0.138,130.018,0.887,0.24,7
Soldier,00f9VGHfQhAHMCQ2bSjg3D,James TW,4WiB26kw0INKwbzfb5M6Tv,70,-6.157,0,6,0.055,0.28,0.496,0.0975,147.764,0.639,0.305,5
Satisfy You,00FROhC5g4iJdax5US8jRr,Diddy,3krpccUV68nBGAQbvHEZDC,52,-10.05,0,6,0.185,0.591,0.764,0.145,87.261,0.594,0.695,7
Tender Lover,00GfGwzlSB8DoA0cDP2Eit,Babyface,3ykXidKLz1eYPvuGoFlD1e,36,-6.346,4.22E-04,5,0.0445,0.226,0.743,0.0513,102.459,0.86,0.687,7
Hide Away (feat. Envy Monroe),00Gu3RMpDW2vO9PjlMVFDL,Blasterjaxx,7xWdFCrU5Gka6qp1ODrSdK,42,-4.894,0,10,0.0421,0.0249,0.573,0.361,130.001,0.746,0.134,1
Ti volevo dedicare (feat. J-AX & Boomdabash),00GxbkrW4m1Tac5xySEJ4M,Rocco Hunt,6kVFIQBhLT4003iw2WWEv1,78,-6.058,0,8,0.0661,0.0104,0.754,0.192,120.002,0.725,0.271,1
Una Vaina Loca,00hdjyXt6MohKnCyDmhxOL,Fuego,6IS6XTdbS9qJZgfjNKgpB8,1,-5.589,7.98E-05,1,0.0361,0.114,0.794,0.062,117.009,0.882,0.642,1
Limestone,00HIh9mVUQQAycsQiciWsh,Magic City Hippies,1pZWCY50kMUhshcESknir8,58,-9.359,0.00849,4,0.0383,0.282,0.706,0.0614,78.014,0.457,0.723,6
La Mordidita,00i0O74dXdaKKdCrqHnfXm,Ricky Martin,2kY6lVc5EcVfI5WNKmPQQG,69,-2.955,0,0,0.0658,0.0344,0.725,0.183,142.006,0.903,0.946,1
Changes,00i2HU7TEzzftShjRrDSEF,2Pac,0C2zyPdlkbWHrwVg9gqNdU,72,-6.722,0,7,0.076,0.0404,0.865,0.14,111.115,0.657,0.316,9
